2.252000	5.483000
2.131000	0.565000
1.401000	7.007000
2.252000	5.483000


7.203000	0.659000
6.469000	8.992000
2.120000	7.002000
7.203000	0.659000


4.556000	5.201000
3.266000	6.552000
1.723000	3.385000
4.556000	5.201000


8.589000	7.535000
5.880000	8.948000
1.923000	5.380000
8.589000	7.535000


0.605000	8.313000
7.241000	4.841000
8.536000	2.621000
0.605000	8.313000


8.861000	2.731000
1.702000	1.214000
8.439000	2.540000
8.861000	2.731000


0.779000	5.457000
7.589000	7.915000
8.779000	7.789000
0.779000	5.457000


0.533000	1.679000
5.965000	8.662000
4.455000	5.136000
0.533000	1.679000


6.026000	1.251000
0.032000	5.510000
3.659000	4.656000
6.026000	1.251000


5.288000	4.279000
1.232000	2.500000
8.781000	3.670000
5.288000	4.279000
